order_date,region,category,product,quantity,unit_price
2026-01-03,North,Electronics,Wireless Mouse,12,499
2026-01-03,South,Furniture,Office Chair,3,4200
2026-01-04,East,Electronics,Bluetooth Speaker,8,1500
2026-01-04,West,Apparel,Running Shoes,15,2200
2026-01-05,North,Electronics,USB-C Charger,20,699
2026-01-06,South,Furniture,Study Table,2,5600
2026-01-07,East,Apparel,Cotton T-Shirt,30,399
2026-01-08,West,Electronics,Wireless Mouse,10,499
2026-01-09,North,Furniture,Bookshelf,4,3200
2026-01-10,South,Electronics,Bluetooth Speaker,6,1500
2026-01-11,East,Electronics,USB-C Charger,18,699
2026-01-12,West,Apparel,Running Shoes,9,2200
2026-01-13,North,Apparel,Cotton T-Shirt,25,399
2026-01-14,South,Electronics,Wireless Mouse,14,499
2026-01-15,East,Furniture,Office Chair,5,4200
2026-01-16,West,Electronics,Bluetooth Speaker,11,1500
2026-01-17,North,Furniture,Study Table,3,5600
2026-01-18,South,Apparel,Running Shoes,7,2200
2026-01-19,East,Electronics,USB-C Charger,22,699
2026-01-20,West,Furniture,Bookshelf,6,3200
2026-01-21,North,Electronics,Bluetooth Speaker,9,1500
2026-01-22,South,Apparel,Cotton T-Shirt,28,399
2026-01-23,East,Furniture,Office Chair,4,4200
2026-01-24,West,Electronics,USB-C Charger,16,699
2026-01-25,North,Apparel,Running Shoes,12,2200
